Air.temp,Species,Sex,Behaviour,Step_Distance,Track.num
21.7,MB,F,R,2.982946402,389
21.8,GK,F,R,0.77045653,391
21.8,MW,M,F,10.29341022,392
15.1,MW,M,F,5.474752558,393
15.1,MW,M,F,6.051888704,395
15.6,MB,F,R,0.998557688,397
15.6,MB,F,R,7.253016046,398
15.6,GK,M,R,0.304813164,399
15,MB,F,N,1.45825092,402
15,MW,M,F,12.25316201,403
15.6,MW,M,F,17.46821502,404
15.6,MW,M,F,17.28650896,405
15.6,GK,M,F,3.496486102,406
15.6,MW,M,N,9.899143286,407
15.6,GK,M,R,0.3337734,408
15.6,MB,F,R,0.663395842,409
15.6,GK,M,R,1.414245561,410
16.5,GK,M,F,1.839565285,411
16.5,MW,M,F,0.889750545,412
16.5,MW,M,R,2.55808058,413
16.5,MW,M,F,0.450416201,415
16.5,MW,M,F,7.480795918,416
16.5,MW,M,F,7.159249842,417
16.5,MW,F,R,2.187025154,418
16.5,MW,M,F,4.578412378,419
17.4,MW,M,F,14.2409984,420
18,MW,M,R,7.363524988,421
15.1,MW,F,F,17.8026657,422
17.2,GK,M,F,4.131803581,424
17.2,GK,M,F,12.79993427,425
17.2,MB,F,N,1.179291292,426
17.2,MB,F,R,2.863699936,427
17.2,GK,M,R,0.594016266,428
17.2,MW,F,R,0.825769965,429
17.5,GK,M,N,0.1112578,430
17.5,GK,F,R,2.24702429,432
18.5,GK,M,F,4.285066054,433
16.1,GK,M,F,5.376428538,434
16.1,MB,F,N,2.615417201,435
16.5,GK,M,F,6.889001072,436
16.5,GK,M,R,2.29067041,437
16.5,GK,M,N,1.24253202,438
16.5,GK,M,B,0.361514351,439
16.5,GK,M,F,4.711372687,440
17.3,MB,F,R,1.995935848,441
19.8,GK,M,F,4.306871931,442
19.8,GK,F,F,4.138504693,443
21.2,GK,M,F,2.474320545,444
21.2,MB,F,R,2.652096808,445
21.2,MB,F,F,0.708509375,446
22,GK,M,R,1.82823297,447
22,MB,F,R,2.49547061,449
23.1,MB,F,R,2.005174979,450
23.1,MB,F,N,0.852693527,451
23.8,MW,F,R,5.651121397,453
23.8,MW,F,R,0.900832404,454
23.8,BA,NA,R,3.668419579,455
23.7,GK,M,R,6.901128576,456
23.7,GK,F,F,0.909556981,460
23.7,GK,M,R,5.380135886,461
23.7,MB,F,NA,4.946823154,463
24.5,GK,F,R,0.997307582,465
24.5,GK,F,R,0.393449558,466
24.5,GK,M,F,4.285066054,467
20.5,BA,NA,R,1.219252654,468
20.5,BA,NA,R,0.738738625,469
20.5,GK,M,R,1.0416078,470
20.6,MW,F,F,19.16072851,471
20.6,GK,F,F,3.74215638,472
20.6,BA,NA,F,11.45984629,473
20.6,GK,F,F,5.280621048,474
21,MW,F,F,14.93449676,475
21,MW,M,F,4.288149713,476
21,MW,M,F,21.42371068,477
NA,MW,F,R,0.393449558,478
21.4,MW,M,F,7.2346966,479
18.7,MW,M,F,12.71428592,480
18.7,GK,M,F,7.096452746,481
18.7,GK,F,N,0.824773515,482
19.8,GK,F,R,0.889750546,483
19.8,GK,M,R,1.480587729,484
19.8,GK,F,N,0.83328624,485
19.8,GK,F,N,0.412386758,487
19.8,GK,F,R,0.723028701,488
19.8,MB,F,R,0.434230878,491
20.4,MB,F,R,1.604409846,493
21.6,BA,NA,R,2.346512831,495
21.6,BA,NA,F,3.238410172,496
21.6,BA,NA,N,2.45810694,497
21.6,MB,F,N,1.087562379,498
21.6,GK,F,R,1.243558161,499
29.4,BA,NA,F,1.259405585,500
29.4,BA,NA,R,3.616339737,501
29.6,MB,F,R,3.214169177,502
30.3,GK,F,N,4.819249354,504
27.7,MB,F,F,9.012962971,506
27.7,BA,NA,F,1.699667177,507
27.7,BA,NA,F,8.010262278,508
28.3,GK,F,N,0.177950109,509
28.3,BA,NA,R,0.412386758,510
28.3,BA,NA,R,2.240148809,511
29.2,BA,NA,R,0.738738625,513
29.2,BA,NA,R,3.271281074,514
29.2,GK,F,N,0.771905812,515
29.2,MB,F,N,0.69929722,517
29.2,GK,F,R,1.823831335,518
29.2,GK,M,R,1.487441434,519
24.8,GK,F,R,1.133111452,520
30.3,GK,F,R,2.954954501,522
30.3,GK,F,R,1.65153993,525
30.3,GK,F,R,3.41891688,526
31.5,GK,F,F,2.458613324,527
31.5,GK,M,F,1.180348675,528
20.9,GK,F,R,3.808743805,529
20.9,GK,F,F,6.261012812,530
20.9,BA,NA,R,7.243207581,531
20.9,MB,F,N,0.434230878,532
21.4,BA,NA,F,8.680778001,533
19.7,BA,NA,N,2.229485853,535
19.7,BA,NA,R,3.558300317,536
19.7,GK,F,NA,10.25440918,537
19.7,BA,NA,R,6.672099712,538
20.8,MB,F,F,18.46401979,539
22,MB,F,O,0.491376272,540
20.4,MB,F,R,1.027868621,541
20.4,MB,F,R,3.565173213,542
20.4,MB,F,R,1.407115009,543
19.6,MB,F,R,2.187025154,544
20.3,BA,NA,R,0.13888104,545
21.7,BA,NA,N,0.825769965,546
21.7,MB,F,R,9.531867539,547
21.7,BA,NA,R,0.340920325,548
21.7,BA,NA,R,1.300570419,549
21.7,BA,NA,N,0.65903723299999994,551
21.7,BA,NA,R,5.136170303,552
23,MB,F,N,0.573363231,553
19.5,MB,F,R,8.477189522,554
19,GK,F,R,0.3472026,555
19,BA,NA,R,0.1112578,556
21.9,BA,NA,F,9.265478233,558
21.9,BA,NA,F,5.835612927,559
20.8,BA,NA,R,0.534593769,560
20.8,BA,NA,F,1.272133526,561
16.2,GK,F,F,12.37511485,562
16.7,GK,F,R,0.131149853,564
16.2,GK,F,R,1.432740524,565
16.2,GK,F,R,0.781894233,566
15.2,GK,F,R,0.695017224,567
15,MB,F,R,2.053881233,569
15.2,MB,F,R,0.826854509,570
17.8,MB,F,R,5.02390735,571
18.6,MB,F,R,2.797188881,574
18.6,MB,F,R,0.361514351,575
19.3,MB,F,R,0.703261601,576
18.9,BA,NA,R,0.771905812,577
18.9,BA,NA,R,0.708509374,579
20,BA,NA,R,1.370094115,580
20,BA,NA,R,7.59410506,581
23,BA,NA,N,0.304813164,582
NA,BA,NA,R,5.435974305,583
24,BA,NA,F,5.189715745,584
24,BA,NA,R,2.578916784,585
24,MB,M,R,1.84529716,586
25.3,MB,M,R,0,587
26,MB,M,F,5.215113174,588
26,MB,M,F,7.412480595,589
26.1,MB,M,R,6.972600884,590
26.4,MB,M,F,7.129438548,591
26.4,MB,M,R,1.392404269,592
26.4,MB,M,R,0.3472026,593
28.9,MB,M,R,0.852693527,594
28.9,MB,M,F,1.601002435,595
28.9,MB,M,F,3.092225867,596
28.9,MB,M,F,9.656896867,597
28.9,MB,F,R,3.653208605,598
30.1,MB,M,F,0.06944052,599
30.1,MB,M,R,1.453003894,600
30.1,MB,M,R,9.608531047,601
21.5,MB,M,F,8.975561707,602
21.5,MB,M,F,6.598188118,603
21.5,MB,M,F,3.584295694,604
23.3,MB,M,F,22.2519934,605
23.3,MB,M,R,17.94188383,606
23.3,MB,F,R,3.719870894,607
23.3,MB,M,F,8.870396325,608
24,MB,M,R,5.925228305,609
24,MB,M,R,1.657975653,610
24,MB,M,R,2.536083518,611
17.6,MB,M,R,0.355900218,612
18.3,MB,M,R,0.434230879,613
18.3,MB,M,R,0.06944052,614
18.3,MB,M,R,5.503822877,615
18.3,MB,M,F,7.629178832,617
18.3,MB,M,R,1.669220875,618
18.9,MB,F,N,0.41664312,619
18.9,MB,M,R,0.340920325,620
18.9,MB,M,R,4.546961386,621
20.2,MB,M,R,15.17179717,622
20.2,MB,M,F,10.975416,623
20.2,MB,F,R,1.121212625,624
20.2,MB,M,F,4.057741271,625
18.9,MB,F,N,4.244234179,626
18.9,MB,M,F,10.86002494,627
20.2,MB,M,F,11.25832291,628
20.2,MB,M,F,8.831459207,629
20.2,MB,M,N,4.065575872,630
20.2,MB,M,N,1.047532867,631
20.6,MB,F,R,3.066965777,632
20.6,MB,M,R,2.588270407,633
17.4,MB,M,R,3.95810964,635
17.4,MB,F,N,0.304813163,636
17.9,MB,M,F,48.22747503,637
17.9,MB,M,F,11.21802666,638
17.9,MB,M,F,8.25464639,639
18.3,MB,M,N,0.825769965,640
18.3,MB,F,F,24.092074,641
18.3,MB,F,N,0.466198147,642
19.7,MB,F,R,0.55552416,643
19.7,MB,M,F,11.4347135,644
22.6,MB,M,R,1.799586326,645
22.6,MB,M,R,2.13540131,646
22.6,MB,M,N,4.676608188,647
22.6,MB,M,N,0.177950109,648
23.7,MB,F,N,0.3337734,649
23.7,MB,M,F,6.306090704,650
23.7,MB,M,F,11.4595534,651
24.3,MB,M,R,8.256763351,653
24.3,MB,M,R,7.373728572,654
24.3,MB,M,R,0.4450312,655
24.3,MB,M,R,0.892767081,656
24.3,MB,M,F,9.930189379,657
24.3,MB,M,F,21.90537241,658
24.3,MB,M,R,3.194129268,659
19.3,MB,M,R,0.29921576,660
19.3,MB,M,R,8.475642994,661
19.3,MB,M,R,10.21321185,662
19.3,MB,M,F,3.629601459,663
20.3,MB,M,F,2.055737243,664
20.3,MB,M,F,12.16233015,666
19,MB,M,F,18.56707356,667
18.7,MB,M,F,15.21113627,668
18.7,MB,M,N,0.564448771,669
18.7,MB,M,N,1.084543052,670
19.4,MB,M,F,7.71591207,672
19.4,MB,M,R,9.890307541,673
19.4,MB,F,R,0.498653791,674
19.4,MB,F,N,0.472339583,675
20.2,MB,M,N,1.990187527,676
20.2,MB,M,R,0.840680829,677
20.2,MB,M,F,3.772185782,678
20.2,MB,M,R,9.747337648,679
20.2,MB,F,F,24.46998065,680
20.2,MB,F,F,12.37292432,681
18.6,MB,M,N,2.354623129,682
18.6,MB,M,R,3.976657859,683
18.6,MB,F,N,0.729185692,684
18.6,MB,F,R,16.914908,685
18.8,MB,F,F,5.685099443,686
18.8,MB,M,F,20.45447329,687
18.8,MB,M,F,4.844680939,688
18.8,MB,F,N,0.304813163,689
18.8,MB,F,R,5.252240722,690
18.8,MB,M,F,24.84175349,692
18.8,MB,M,F,10.34378388,693
19.5,MB,F,R,3.672913396,694
19.5,MB,M,F,0.681840651,695
19.5,MB,F,N,5.472521695,696
19.5,MB,M,R,8.311522158,697
19.5,MB,F,F,48.80510348,698
19.5,MB,F,R,2.825560699,699
19.1,MB,F,R,18.825051,700
19.1,MB,M,R,10.31631366,701
19.3,MB,F,N,0.431242145,702
19.3,MB,F,N,0.524599411,703
19.3,MB,F,R,6.051555375,704
19.3,MB,F,R,1.922986683,705
20,MB,F,R,3.467449593,706
20,MB,M,F,2.187025154,707
20,MB,M,F,3.149206439,709
17.1,MB,F,R,0.589645646,710
17.8,MB,F,R,3.473847026,711
18.8,MB,F,R,0.791090733,712
19.2,MB,M,F,12.61729724,713
19.2,MB,F,R,1.560754048,714
19.2,MB,F,R,20.76755896,715
19,MB,F,N,1.043424739,716
19,MB,F,R,7.841532519,717
19,MB,F,R,9.012019642,718
16.9,MB,F,N,5.929689714,719
17.9,MB,F,R,0.355900218,720
17.9,MB,F,R,6.697090321,721
18.5,MB,F,F,21.91027779,722
18.5,MB,M,F,3.38907556,723
18.5,MB,F,N,3.098956635,724
18.5,MB,F,R,0.06944052,725
18.5,MB,F,R,0.738738625,726
18.5,MB,F,R,2.49985872,727
18.5,MB,F,R,0.932396294,728
18.5,MB,F,R,11.86815757,729
18.5,MB,F,N,0.4450312,730
18.9,MB,F,R,0.364592846,731
18.9,MB,F,R,5.392995207,732
18.9,MB,F,N,2.224880171,733
19,MB,F,R,4.877467302,734
19,MB,F,R,1.64954703,735
19,MB,F,R,1.027868621,736
20.4,MB,M,N,1.243558161,739
20.4,MB,M,R,1.631635738,740
20.4,MB,F,R,1.116604974,741
20.4,MB,F,R,5.478469113,742
20.4,MB,F,N,0.48161637,743
20.4,MB,F,R,11.07345817,744
20.4,MB,F,R,32.19268577,745
20.5,MB,F,R,8.240014201,746
20.5,MB,F,R,6.787081042,747
20.8,MB,M,F,4.282457699,748
20.8,MB,F,R,1.902820541,749
22.6,MB,M,R,1.065110324,750
22.6,MB,F,R,10.81894389,751
22.6,MB,F,R,13.32387922,752
22.6,MB,F,R,4.487226039,753
22.6,MB,F,N,6.051555375,754
22.1,MB,M,F,4.504162018,755
22.1,MB,F,F,33.27634899,756
22.5,MB,F,F,25.80250967,757
22.5,MB,F,R,8.777370529,758
22.5,MB,M,F,5.258059995,759
21.4,MB,F,R,1.673365833,760
21.4,MB,F,R,3.085836739,761
21.4,MB,F,R,3.946950839,762
15.1,MB,F,R,2.601140837,763
15.1,MB,F,R,0.786170811,765
15.1,MB,F,F,30.21638124,766
15.1,MB,M,F,2.24702429,767
17.5,MB,F,R,7.429364071,768
17.5,MB,F,R,9.978293151,769
17.5,MB,F,R,2.818654871,770
17.5,MB,F,R,1.601002435,771
17.5,MB,M,R,3.272609356,773
18.5,MB,F,F,3.844839134,774
18.5,MB,F,R,0.932396294,775
18.5,MB,F,R,8.38992866,776
21.3,MB,F,R,3.360223214,778
21.3,MB,M,F,11.8228121,779
21.9,MB,F,R,8.451790393,780
21.9,MB,F,R,0.781894233,782
21.9,MB,M,R,5.136354218,784
